16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.03492	0.03496	0.0278	0.03508	0.02158	0.01866	0.0094	0.00814	0.00618	0.00584	0.00526	0.0059	0.00522
0.03482	0.03494	0.02786	0.03504	0.0215	0.01868	0.00944	0.00808	0.00616	0.00586	0.0052	0.0059	0.00524
0.03486	0.03498	0.02782	0.03494	0.02162	0.0187	0.00936	0.00816	0.00618	0.00588	0.0052	0.00588	0.00522
0.0348	0.03494	0.0278	0.03496	0.02152	0.01874	0.00942	0.0081	0.00616	0.00588	0.00518	0.00588	0.0052
0.03482	0.03492	0.0278	0.035	0.02154	0.01878	0.00938	0.00814	0.00612	0.0059	0.00518	0.00586	0.00516
0.03484	0.03492	0.02778	0.03496	0.02166	0.0187	0.00936	0.00814	0.00612	0.00588	0.00516	0.0059	0.00522
0.0348	0.0349	0.02776	0.03488	0.02162	0.01866	0.00942	0.0082	0.00612	0.00588	0.00516	0.00588	0.00524
0.03484	0.03492	0.0278	0.035	0.02152	0.01868	0.0094	0.00812	0.00614	0.0059	0.00522	0.00588	0.00526
0.03482	0.03486	0.02782	0.03504	0.02152	0.01866	0.00938	0.00816	0.00614	0.0059	0.00522	0.0059	0.00524
0.0349	0.03486	0.02782	0.03496	0.02154	0.01864	0.00938	0.00814	0.00614	0.00588	0.00518	0.00588	0.00518
0.03482	0.03494	0.02788	0.03496	0.02154	0.01868	0.0094	0.00818	0.00618	0.00588	0.00522	0.00592	0.0052
0.03488	0.03494	0.02778	0.03486	0.02156	0.01868	0.0094	0.00814	0.00618	0.00586	0.00516	0.00586	0.0052
0.03484	0.0349	0.02784	0.03502	0.02152	0.01866	0.00938	0.00812	0.00616	0.00588	0.00522	0.00586	0.00522
0.03478	0.0349	0.02784	0.03486	0.02154	0.01864	0.00938	0.00816	0.0061	0.00586	0.00522	0.00586	0.0052
0.03482	0.03498	0.02776	0.03492	0.02158	0.01866	0.0094	0.0081	0.00612	0.00588	0.00522	0.0059	0.0052
0.0349	0.0349	0.02782	0.03506	0.02158	0.01876	0.00936	0.00814	0.00616	0.0059	0.00526	0.00586	0.00522
0.03488	0.03492	0.0278	0.03494	0.02152	0.0187	0.00938	0.0081	0.00616	0.0059	0.00522	0.00586	0.00522
0.03484	0.03488	0.0279	0.03494	0.02152	0.01864	0.0094	0.00814	0.00614	0.00586	0.00522	0.00584	0.00518
0.03482	0.0349	0.02778	0.03504	0.02148	0.01872	0.00942	0.00812	0.00618	0.0059	0.0052	0.00588	0.00524
0.0348	0.03492	0.02784	0.03488	0.0216	0.0187	0.0094	0.00816	0.00614	0.00588	0.00518	0.00586	0.00522
0.03478	0.03492	0.0278	0.03498	0.02158	0.01866	0.00938	0.00816	0.00616	0.00588	0.00524	0.00588	0.00526
0.03484	0.03492	0.02782	0.03494	0.02158	0.01872	0.00944	0.00814	0.00616	0.00588	0.00518	0.00588	0.00524
0.03492	0.03494	0.02778	0.03492	0.02152	0.0187	0.00942	0.00812	0.00616	0.00584	0.0052	0.00588	0.00528
0.03488	0.03492	0.02772	0.03494	0.0215	0.01878	0.0094	0.0081	0.00616	0.00588	0.0052	0.00586	0.00522
0.03486	0.03492	0.0278	0.035	0.02152	0.01868	0.0094	0.00814	0.00618	0.0059	0.0052	0.00588	0.00516
0.03482	0.0349	0.02778	0.03496	0.02152	0.01868	0.00942	0.00816	0.00614	0.00588	0.00516	0.00586	0.0052
0.03482	0.03486	0.02778	0.03498	0.02152	0.01872	0.00938	0.00818	0.00614	0.0059	0.0052	0.00592	0.00518
0.03482	0.0349	0.02784	0.03498	0.02156	0.0187	0.0094	0.00812	0.00614	0.00588	0.00516	0.0059	0.00524
0.03486	0.03484	0.02776	0.035	0.02154	0.0187	0.00946	0.00816	0.00612	0.00586	0.00522	0.00588	0.0052
0.03482	0.03498	0.02776	0.03508	0.02158	0.0187	0.00934	0.00808	0.00614	0.0059	0.00524	0.00592	0.00522
0.03488	0.03492	0.0278	0.03512	0.02156	0.01876	0.00938	0.00814	0.00612	0.00586	0.00526	0.00588	0.00524
0.03488	0.0349	0.02784	0.0349	0.02158	0.01864	0.0094	0.00808	0.00612	0.00588	0.00524	0.00588	0.00516
0.03486	0.03492	0.02786	0.03498	0.0215	0.01874	0.00946	0.00814	0.00618	0.00588	0.0052	0.00584	0.00522
0.03482	0.03492	0.02788	0.03496	0.02154	0.01876	0.00942	0.00812	0.00614	0.00588	0.00522	0.00586	0.00526
0.03484	0.03488	0.02782	0.03496	0.02158	0.01866	0.00938	0.00818	0.00618	0.00586	0.00524	0.00588	0.00522
0.03486	0.03484	0.02782	0.03488	0.02154	0.01862	0.0094	0.00812	0.0061	0.0059	0.0052	0.0059	0.00526
0.03482	0.03488	0.02792	0.03496	0.02168	0.01866	0.00944	0.00812	0.00616	0.00592	0.00518	0.00588	0.0052
0.03478	0.03486	0.0278	0.03492	0.02154	0.01868	0.0094	0.00812	0.00608	0.00584	0.00516	0.0059	0.0052
0.03478	0.03486	0.02784	0.03494	0.02154	0.01868	0.00938	0.0082	0.00614	0.0059	0.00518	0.0059	0.00524
0.03482	0.0349	0.0278	0.03492	0.02158	0.01866	0.0094	0.0081	0.00612	0.0059	0.00524	0.00588	0.0052
0.03484	0.03492	0.02776	0.03494	0.02156	0.01874	0.0094	0.00812	0.00616	0.00586	0.0052	0.00588	0.00522
0.0348	0.03498	0.0278	0.03502	0.02158	0.01872	0.00942	0.0081	0.00616	0.00586	0.0052	0.00588	0.00522
0.03484	0.0349	0.02778	0.03498	0.0215	0.01862	0.00942	0.00812	0.00614	0.00584	0.0052	0.00586	0.00518
0.03492	0.035	0.0278	0.03486	0.02152	0.01874	0.0094	0.0081	0.00616	0.00584	0.00516	0.00592	0.00522
0.03486	0.0349	0.02782	0.03496	0.02162	0.01862	0.00938	0.0081	0.00612	0.00592	0.0052	0.00586	0.00522
0.03482	0.03484	0.0278	0.03486	0.0215	0.01868	0.00942	0.00812	0.00614	0.00588	0.0052	0.00588	0.00518
0.03484	0.03488	0.02774	0.03492	0.02152	0.01866	0.00944	0.0081	0.00614	0.00586	0.00524	0.00592	0.00522
0.03482	0.03494	0.02778	0.03494	0.0215	0.01876	0.00946	0.0081	0.00612	0.00586	0.00522	0.00588	0.00524
0.03486	0.0349	0.02782	0.035	0.0216	0.01872	0.0094	0.00814	0.00618	0.00588	0.00522	0.00586	0.00524
0.03472	0.03486	0.0278	0.03502	0.02154	0.01872	0.00938	0.00816	0.00618	0.00584	0.0052	0.0059	0.00526
0.0348	0.03492	0.02778	0.03496	0.0215	0.01874	0.00944	0.00816	0.00616	0.00592	0.00522	0.00586	0.00524
0.03496	0.03488	0.02782	0.03502	0.02154	0.01868	0.00936	0.00814	0.00614	0.00586	0.0052	0.00588	0.00524
