16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.02638	0.02644	0.01642	0.02644	0.01628	0.01414	0.00716	0.00482	0.00364	0.00302	0.00268	0.00296	0.00268
0.02646	0.02644	0.01634	0.02646	0.0163	0.01414	0.00716	0.00482	0.00364	0.003	0.00266	0.003	0.00264
0.02638	0.02642	0.01628	0.02644	0.0164	0.01412	0.00716	0.00484	0.00364	0.00298	0.00268	0.003	0.00266
0.02648	0.02648	0.01636	0.0265	0.01638	0.0142	0.00718	0.0048	0.00366	0.003	0.00266	0.00302	0.00268
0.0264	0.02648	0.0163	0.02646	0.0163	0.01426	0.00718	0.00484	0.00368	0.00296	0.00266	0.00298	0.00266
0.0265	0.02646	0.01632	0.02648	0.01634	0.01414	0.00718	0.00484	0.00368	0.003	0.00266	0.00296	0.00266
0.0264	0.02648	0.01638	0.02642	0.01636	0.0142	0.00714	0.00482	0.00364	0.00302	0.00268	0.003	0.00266
0.02646	0.02652	0.01636	0.02642	0.0163	0.0142	0.00722	0.0048	0.00368	0.00296	0.00266	0.003	0.00268
0.02644	0.02646	0.01634	0.02642	0.01634	0.01412	0.00716	0.00482	0.00368	0.00298	0.00266	0.003	0.00266
0.02638	0.0264	0.01636	0.02644	0.01636	0.01418	0.00718	0.00486	0.00366	0.003	0.00266	0.00298	0.00268
0.02636	0.0264	0.01634	0.02642	0.01636	0.01418	0.00716	0.00484	0.0037	0.003	0.00266	0.003	0.00266
0.02634	0.0264	0.0163	0.02646	0.01632	0.01418	0.00716	0.00482	0.00366	0.00302	0.00268	0.003	0.0027
0.02636	0.02644	0.01638	0.0264	0.01634	0.01424	0.00716	0.00482	0.00366	0.003	0.00266	0.00302	0.00266
0.0264	0.02652	0.0163	0.02642	0.01638	0.01422	0.0072	0.00482	0.00364	0.00298	0.00268	0.00298	0.00264
0.02634	0.02642	0.01632	0.02646	0.01638	0.01412	0.00718	0.00482	0.00366	0.00298	0.00266	0.00298	0.00268
0.02634	0.02646	0.01638	0.0265	0.01634	0.01418	0.00718	0.00486	0.00368	0.00298	0.00266	0.00298	0.00266
0.02638	0.0264	0.01638	0.02642	0.01634	0.01416	0.00718	0.00482	0.00366	0.00298	0.00266	0.003	0.00264
0.02634	0.0264	0.01636	0.02642	0.01634	0.01426	0.00714	0.00482	0.00364	0.00302	0.00266	0.00302	0.00268
0.0264	0.02644	0.01634	0.0264	0.0163	0.01418	0.0072	0.00486	0.00366	0.003	0.00266	0.003	0.00266
0.02642	0.0265	0.01634	0.02642	0.01634	0.01418	0.00716	0.00488	0.00366	0.003	0.00266	0.00298	0.00268
0.02642	0.02652	0.01634	0.02646	0.0164	0.01416	0.00716	0.00486	0.0037	0.003	0.00268	0.00298	0.0027
0.0264	0.02646	0.0164	0.02646	0.0163	0.01418	0.00718	0.00482	0.00368	0.003	0.00264	0.00298	0.00262
0.02638	0.0264	0.01638	0.02646	0.01628	0.01414	0.00714	0.0048	0.00368	0.00298	0.00266	0.003	0.0027
0.02638	0.02646	0.01632	0.02656	0.01632	0.01418	0.00718	0.00484	0.00366	0.00296	0.00266	0.00304	0.00268
0.02642	0.02646	0.01638	0.02646	0.01636	0.0142	0.00716	0.00486	0.00368	0.003	0.00264	0.00296	0.00266
0.02636	0.02644	0.01628	0.02644	0.01636	0.0142	0.0072	0.00484	0.00364	0.00298	0.00264	0.003	0.00268
0.02642	0.02646	0.01632	0.0265	0.01638	0.01418	0.00716	0.0048	0.00366	0.003	0.00266	0.00296	0.00268
0.02646	0.02646	0.0164	0.02656	0.01632	0.01422	0.00718	0.0048	0.0037	0.00302	0.0027	0.00302	0.00266
0.02638	0.02646	0.01644	0.02652	0.01632	0.01418	0.0072	0.00486	0.0037	0.00298	0.00268	0.00302	0.00266
0.0264	0.02644	0.01634	0.02646	0.0164	0.0142	0.00712	0.0048	0.00368	0.00296	0.00266	0.00298	0.00266
0.02642	0.0264	0.01634	0.02644	0.01636	0.01414	0.00716	0.00484	0.00366	0.00296	0.00268	0.00298	0.00268
0.02642	0.02648	0.01642	0.02644	0.01632	0.01416	0.00716	0.00486	0.0037	0.00298	0.00266	0.003	0.00268
0.0264	0.02646	0.01638	0.0265	0.01634	0.01418	0.0072	0.0048	0.00366	0.00302	0.00264	0.003	0.00266
0.02638	0.0265	0.0164	0.0265	0.01634	0.0142	0.00716	0.00484	0.00368	0.003	0.00268	0.003	0.00268
0.02638	0.02652	0.01638	0.02648	0.01628	0.0142	0.0072	0.00484	0.0037	0.00298	0.0027	0.00296	0.00264
0.02636	0.02648	0.0163	0.02644	0.01634	0.01416	0.00716	0.0048	0.00366	0.003	0.00264	0.00298	0.00264
0.02634	0.02644	0.0163	0.02646	0.0163	0.01418	0.00716	0.00484	0.00366	0.00298	0.00268	0.003	0.00266
0.02636	0.0265	0.0164	0.02638	0.01628	0.01416	0.00718	0.00486	0.00368	0.00302	0.00268	0.00298	0.00266
0.0264	0.02642	0.01636	0.02642	0.01636	0.01418	0.00712	0.00486	0.00368	0.00302	0.00264	0.00302	0.00268
0.02638	0.0264	0.01636	0.02646	0.01632	0.01412	0.00718	0.00484	0.00364	0.00298	0.00268	0.00294	0.00266
0.02642	0.0264	0.01634	0.02646	0.01628	0.01422	0.00712	0.0048	0.00364	0.00298	0.00268	0.00298	0.00266
0.02638	0.0264	0.01628	0.02644	0.01642	0.01414	0.00716	0.00482	0.00368	0.00294	0.00266	0.00296	0.00268
0.02642	0.02642	0.01638	0.02644	0.01632	0.01416	0.0072	0.00484	0.00368	0.003	0.00266	0.00302	0.00268
0.02636	0.02642	0.01634	0.02642	0.01638	0.01416	0.00716	0.00486	0.00366	0.003	0.00264	0.003	0.00266
0.0264	0.02644	0.01636	0.02644	0.01628	0.01414	0.00714	0.00484	0.00368	0.00298	0.00268	0.00294	0.00268
0.02638	0.02644	0.01636	0.02644	0.0164	0.01418	0.00718	0.00482	0.00368	0.003	0.00266	0.00298	0.00266
0.0264	0.02648	0.01642	0.02644	0.0164	0.0142	0.00716	0.00482	0.0037	0.00298	0.00266	0.003	0.00264
0.0264	0.02654	0.01636	0.02642	0.0164	0.01416	0.00716	0.00486	0.00368	0.003	0.0027	0.00302	0.00266
0.02642	0.02652	0.01632	0.02644	0.01634	0.01416	0.00716	0.00482	0.00366	0.00302	0.00268	0.00302	0.00264
0.02646	0.0265	0.0164	0.02644	0.0164	0.0142	0.00712	0.00482	0.00368	0.003	0.00264	0.003	0.00268
0.02638	0.02636	0.01634	0.02648	0.01638	0.01416	0.00714	0.00482	0.00368	0.00296	0.00266	0.00298	0.00268
