16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.02532	0.0254	0.01838	0.02548	0.0157	0.0136	0.0069	0.0054	0.0041	0.00402	0.00358	0.00404	0.00354
0.02536	0.0254	0.01836	0.02542	0.01574	0.01362	0.00692	0.00542	0.00414	0.00404	0.0036	0.00402	0.00358
0.02536	0.0254	0.0184	0.02534	0.01568	0.01366	0.00686	0.00548	0.0041	0.00404	0.0036	0.00402	0.00356
0.02544	0.02548	0.01834	0.02536	0.01572	0.01364	0.00686	0.00546	0.00408	0.00398	0.00358	0.00404	0.00354
0.02542	0.02544	0.01842	0.02536	0.0157	0.01362	0.00688	0.0054	0.00412	0.00402	0.00354	0.00402	0.00354
0.02534	0.02538	0.01846	0.02542	0.01574	0.01364	0.0069	0.00542	0.00412	0.00404	0.00356	0.00404	0.00356
0.02532	0.02542	0.0184	0.02536	0.0156	0.0136	0.0069	0.0054	0.00412	0.004	0.00358	0.00402	0.00356
0.02536	0.02534	0.0184	0.02536	0.01572	0.01364	0.00684	0.00548	0.00412	0.00404	0.00356	0.00404	0.0036
0.02536	0.02542	0.01852	0.0254	0.01578	0.01358	0.00692	0.00542	0.00412	0.00404	0.00356	0.004	0.0036
0.02536	0.02538	0.0184	0.0254	0.01566	0.01358	0.00686	0.00544	0.00408	0.004	0.00358	0.00404	0.0036
0.02538	0.02546	0.01834	0.0254	0.01574	0.0136	0.00692	0.00542	0.0041	0.00402	0.00354	0.004	0.0036
0.02532	0.0254	0.01842	0.02544	0.01576	0.0136	0.00694	0.00546	0.00412	0.00402	0.0036	0.00402	0.0036
0.02534	0.0254	0.01832	0.0254	0.01566	0.01366	0.00688	0.0054	0.00414	0.00402	0.00358	0.00404	0.0036
0.02532	0.02544	0.01836	0.02536	0.01568	0.01364	0.0069	0.00542	0.00412	0.00402	0.00358	0.00404	0.0036
0.02542	0.02548	0.0184	0.0254	0.01574	0.01366	0.00686	0.00544	0.00412	0.00404	0.00354	0.00402	0.00356
0.0254	0.02544	0.01846	0.0254	0.0157	0.01364	0.00688	0.00544	0.0041	0.00402	0.0036	0.00402	0.00358
0.02536	0.02548	0.01838	0.02538	0.01566	0.01362	0.00688	0.00542	0.00414	0.00402	0.00358	0.00404	0.0036
0.02532	0.02544	0.01838	0.02546	0.0157	0.01368	0.00692	0.00538	0.00412	0.00404	0.00356	0.00402	0.0036
0.02534	0.02534	0.01842	0.02542	0.01566	0.01366	0.00688	0.0054	0.00414	0.00402	0.00358	0.00402	0.0036
0.02532	0.02542	0.01838	0.02542	0.01566	0.0137	0.00694	0.00542	0.00408	0.00404	0.00356	0.00398	0.00358
0.02534	0.02534	0.01844	0.02542	0.01574	0.01366	0.00688	0.00546	0.00412	0.00404	0.00356	0.00402	0.0036
0.02534	0.02544	0.0184	0.02542	0.01572	0.01362	0.00684	0.00546	0.00412	0.00402	0.00362	0.00402	0.00356
0.0254	0.02548	0.01848	0.02542	0.01566	0.01364	0.00688	0.0054	0.00414	0.00404	0.00358	0.00402	0.00356
0.02544	0.0255	0.01842	0.02538	0.0157	0.01368	0.00686	0.00544	0.00412	0.00404	0.00354	0.004	0.0036
0.02532	0.0255	0.01838	0.02542	0.01572	0.01364	0.00686	0.00542	0.00408	0.00404	0.00356	0.00406	0.00358
0.02536	0.0254	0.0184	0.0254	0.0157	0.01366	0.0069	0.00544	0.00414	0.00404	0.00356	0.00404	0.00356
0.02534	0.02538	0.01838	0.02546	0.01568	0.01364	0.00694	0.0055	0.00414	0.00402	0.00358	0.00398	0.00358
0.02534	0.02546	0.01844	0.02538	0.01574	0.01368	0.00688	0.00548	0.00412	0.00402	0.00354	0.00402	0.00356
0.02534	0.0254	0.01838	0.02544	0.01568	0.01362	0.00688	0.00546	0.00412	0.004	0.00356	0.004	0.0036
0.02534	0.02544	0.01836	0.02544	0.01566	0.0137	0.0069	0.00546	0.0041	0.004	0.00358	0.00402	0.0036
0.02538	0.0254	0.01838	0.02548	0.01572	0.0137	0.00686	0.00542	0.0041	0.00404	0.0036	0.00404	0.0036
0.02536	0.02538	0.0184	0.02542	0.01568	0.01362	0.00694	0.00542	0.00412	0.00402	0.00358	0.00402	0.00358
0.0254	0.02542	0.01842	0.02544	0.0157	0.01366	0.00694	0.00542	0.00414	0.00406	0.0036	0.004	0.00358
0.02536	0.02542	0.0185	0.02542	0.01574	0.01362	0.00688	0.00544	0.00414	0.00402	0.0036	0.00402	0.00358
0.02536	0.02546	0.01844	0.02538	0.01568	0.01368	0.0068	0.00542	0.0041	0.00404	0.00356	0.00402	0.00356
0.02532	0.02542	0.01834	0.02542	0.01566	0.01366	0.00688	0.00542	0.00414	0.00404	0.00358	0.00406	0.00358
0.02536	0.02542	0.01838	0.02544	0.01572	0.0136	0.00688	0.0054	0.0041	0.00402	0.00358	0.00402	0.00358
0.0253	0.02544	0.01836	0.02544	0.0157	0.01366	0.00684	0.00542	0.00412	0.00404	0.00356	0.00402	0.00358
0.02536	0.0254	0.01842	0.02546	0.01564	0.01362	0.00692	0.00544	0.0041	0.00406	0.00358	0.00404	0.00358
0.0253	0.02544	0.01838	0.02548	0.01568	0.0136	0.0069	0.0055	0.00408	0.00404	0.00362	0.00404	0.00362
0.02536	0.02546	0.01838	0.02544	0.01574	0.0137	0.00694	0.00544	0.0041	0.00404	0.0036	0.00402	0.00362
0.0253	0.02544	0.01842	0.0255	0.01572	0.01358	0.00684	0.00544	0.00414	0.00404	0.00358	0.00404	0.00354
0.02538	0.0254	0.01834	0.0254	0.01568	0.01364	0.00686	0.0054	0.00412	0.00402	0.00358	0.00404	0.00358
0.02534	0.0254	0.01842	0.02542	0.0157	0.01362	0.0069	0.00544	0.00414	0.00404	0.00354	0.00404	0.0036
0.0254	0.0254	0.01836	0.0254	0.0157	0.01364	0.0069	0.00546	0.00408	0.00402	0.0036	0.00404	0.0036
0.02536	0.02536	0.01836	0.02542	0.01568	0.01364	0.00688	0.00542	0.0041	0.00402	0.00358	0.00404	0.00356
0.02534	0.0254	0.01844	0.02542	0.0157	0.01362	0.0069	0.00542	0.00412	0.00406	0.00354	0.00406	0.00356
0.02534	0.0254	0.01848	0.02538	0.01568	0.01356	0.00692	0.0054	0.00414	0.00402	0.00358	0.00402	0.0036
0.0254	0.02542	0.01838	0.02542	0.01566	0.01364	0.00686	0.00542	0.0041	0.00406	0.0036	0.00406	0.00354
0.02532	0.02546	0.01842	0.02548	0.01572	0.01366	0.00686	0.00546	0.0041	0.00404	0.0036	0.00402	0.00362
0.02536	0.02548	0.01838	0.02544	0.0157	0.0136	0.00686	0.00544	0.00414	0.00402	0.00354	0.00404	0.0036
0.02532	0.02544	0.0185	0.0254	0.01578	0.0136	0.00682	0.00546	0.00412	0.00408	0.00356	0.00402	0.00356
