16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.24894	0.249	0.1534	0.24906	0.15342	0.13304	0.0666	0.04446	0.03338	0.02676	0.02358	0.02676	0.02368
0.24892	0.24922	0.15324	0.24928	0.15324	0.1329	0.0665	0.04438	0.03338	0.02664	0.02354	0.02674	0.02358
0.24892	0.24904	0.15322	0.24908	0.15336	0.13292	0.06662	0.04434	0.03334	0.0267	0.0236	0.02666	0.02356
0.24916	0.24892	0.15358	0.2489	0.15344	0.13284	0.06658	0.04434	0.03338	0.02664	0.0236	0.02672	0.0236
0.24902	0.24926	0.15336	0.24912	0.15352	0.1331	0.0666	0.04438	0.03328	0.02666	0.02352	0.02666	0.0236
0.24892	0.24902	0.15332	0.24914	0.15346	0.13292	0.06676	0.04432	0.0334	0.02664	0.02364	0.02666	0.0236
0.24914	0.24888	0.15324	0.24902	0.15338	0.1329	0.06644	0.04436	0.03332	0.02666	0.02356	0.0268	0.02358
0.24908	0.24906	0.15356	0.249	0.1532	0.13286	0.06654	0.04434	0.03334	0.02676	0.02358	0.0267	0.0236
0.24898	0.24918	0.15324	0.24936	0.15332	0.13298	0.06662	0.04434	0.03336	0.02678	0.02362	0.02676	0.02356
0.24894	0.24914	0.15326	0.24918	0.15358	0.13314	0.06656	0.04432	0.0334	0.02674	0.02358	0.0267	0.02358
0.24906	0.24918	0.1534	0.24914	0.15336	0.13282	0.0665	0.04444	0.03336	0.02668	0.02358	0.0268	0.0236
0.24898	0.24918	0.15366	0.24924	0.15332	0.13286	0.06656	0.04434	0.03328	0.02666	0.02362	0.0267	0.02356
0.24912	0.24912	0.15336	0.24924	0.15328	0.13308	0.0666	0.0444	0.03334	0.0268	0.0236	0.02676	0.02362
0.24908	0.2493	0.15332	0.24922	0.15354	0.13294	0.06656	0.04436	0.03326	0.0267	0.0236	0.02674	0.02356
0.24884	0.2492	0.15322	0.2491	0.1531	0.13308	0.06644	0.04436	0.03332	0.02666	0.02364	0.02668	0.02358
0.24926	0.249	0.15348	0.24906	0.15328	0.13276	0.06656	0.04432	0.03336	0.02668	0.02366	0.02666	0.02354
0.24912	0.24938	0.15346	0.24892	0.15342	0.13284	0.06652	0.04432	0.03342	0.02678	0.02356	0.0268	0.02362
0.24896	0.24906	0.15342	0.24904	0.15338	0.13294	0.06654	0.04438	0.0334	0.02666	0.02362	0.0267	0.02358
0.24888	0.24908	0.15324	0.24914	0.15344	0.13296	0.0666	0.04438	0.03328	0.02672	0.02356	0.02674	0.0236
0.2491	0.24894	0.15338	0.24914	0.1533	0.1331	0.06644	0.0444	0.03334	0.02668	0.02364	0.02668	0.02352
