16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.03146	0.03148	0.02006	0.03142	0.01944	0.01694	0.0085	0.0059	0.00444	0.00386	0.00346	0.00388	0.00346
0.03152	0.0315	0.02004	0.03152	0.01944	0.0169	0.0085	0.00588	0.0044	0.00386	0.00346	0.00388	0.00344
0.03144	0.03148	0.01998	0.03152	0.01948	0.01682	0.0085	0.00586	0.00446	0.00386	0.00344	0.00386	0.00344
0.03146	0.03146	0.01998	0.0315	0.01946	0.01686	0.00848	0.00588	0.00446	0.00388	0.00342	0.00386	0.00344
0.03146	0.0315	0.01996	0.03158	0.01942	0.01692	0.00856	0.00588	0.00444	0.00392	0.00346	0.00384	0.00346
0.03142	0.0315	0.02002	0.0315	0.01944	0.01684	0.00852	0.00586	0.00448	0.00388	0.00344	0.00388	0.00346
0.03138	0.03144	0.01998	0.03144	0.01944	0.01692	0.0085	0.00588	0.00442	0.00388	0.00344	0.0039	0.00346
0.03138	0.03152	0.02	0.03154	0.0195	0.01688	0.00854	0.00588	0.0045	0.00388	0.00348	0.00386	0.0035
0.03142	0.03152	0.02006	0.03154	0.01944	0.01686	0.0085	0.00586	0.00446	0.00388	0.00346	0.00388	0.00348
0.03146	0.03146	0.02002	0.03146	0.0194	0.01694	0.00846	0.00588	0.00444	0.0039	0.00348	0.0039	0.00346
0.03144	0.03152	0.01992	0.03154	0.01946	0.01682	0.00852	0.0059	0.0045	0.00386	0.00342	0.00388	0.00346
0.03146	0.03146	0.01994	0.03158	0.01948	0.01684	0.0085	0.00586	0.00444	0.00386	0.00344	0.0039	0.00342
0.03142	0.0315	0.01998	0.03158	0.0195	0.01688	0.00846	0.00586	0.00448	0.00386	0.00344	0.00386	0.00342
0.0314	0.03146	0.01992	0.03158	0.01946	0.01686	0.0085	0.00592	0.00442	0.00388	0.00346	0.00388	0.00346
0.03142	0.03146	0.01994	0.0315	0.01938	0.01684	0.00854	0.00586	0.0045	0.00388	0.00346	0.00388	0.00346
0.03144	0.03156	0.02002	0.03156	0.0195	0.01686	0.00852	0.0059	0.00446	0.00386	0.00344	0.00386	0.00344
0.03144	0.03144	0.02006	0.03156	0.0195	0.01684	0.00856	0.0059	0.00446	0.00392	0.00346	0.00388	0.00346
0.03146	0.03154	0.01994	0.03152	0.01948	0.01686	0.00856	0.00588	0.00446	0.00388	0.00346	0.0039	0.00344
0.0314	0.03146	0.01994	0.03148	0.0194	0.01688	0.00846	0.0059	0.00444	0.0039	0.00346	0.00388	0.00342
0.03136	0.03152	0.02004	0.0315	0.01952	0.0169	0.00852	0.0059	0.00444	0.00388	0.00344	0.00388	0.00342
0.03148	0.03148	0.02002	0.03154	0.01936	0.01688	0.00856	0.00588	0.00448	0.00384	0.00344	0.00388	0.00344
0.03152	0.0315	0.01996	0.0315	0.0194	0.01686	0.00846	0.00586	0.00448	0.00386	0.00344	0.00386	0.00342
0.03144	0.03148	0.01994	0.03154	0.0194	0.01684	0.00848	0.00586	0.00444	0.00386	0.00342	0.00388	0.00342
0.03138	0.03148	0.01992	0.03154	0.0194	0.01686	0.00852	0.00588	0.00442	0.0039	0.00342	0.00386	0.00346
0.03144	0.0315	0.02002	0.03148	0.01956	0.0168	0.00852	0.00586	0.00448	0.0039	0.00346	0.00388	0.00342
0.03146	0.03156	0.02004	0.0315	0.01942	0.01688	0.00844	0.00588	0.00444	0.00388	0.00344	0.00388	0.00344
0.03138	0.03144	0.02002	0.03148	0.01942	0.01682	0.0085	0.00588	0.00446	0.00388	0.00342	0.00386	0.00346
0.03146	0.03146	0.01994	0.0315	0.0195	0.01682	0.00854	0.00588	0.00446	0.00386	0.00346	0.00388	0.00346
0.0314	0.03146	0.0201	0.03144	0.01942	0.01696	0.00854	0.0059	0.00442	0.00386	0.00346	0.00386	0.00344
0.03152	0.03146	0.02002	0.03148	0.01944	0.01688	0.0085	0.00584	0.00448	0.00388	0.00348	0.0039	0.00348
0.03146	0.0315	0.01996	0.03152	0.0195	0.01688	0.00856	0.00588	0.00442	0.00386	0.00346	0.00388	0.00348
0.0314	0.0315	0.02	0.03146	0.01948	0.01688	0.00848	0.00586	0.00448	0.00386	0.00346	0.00388	0.00348
0.03148	0.0315	0.02002	0.03152	0.01948	0.01682	0.00856	0.0059	0.00446	0.00388	0.00344	0.00388	0.00346
0.03148	0.03148	0.01996	0.03152	0.01944	0.01688	0.0085	0.00586	0.0045	0.0039	0.00346	0.00388	0.00346
0.03138	0.03148	0.02002	0.03148	0.01944	0.01692	0.00852	0.00586	0.00448	0.00388	0.00346	0.00386	0.00344
0.03142	0.0315	0.02002	0.0316	0.0195	0.01692	0.00852	0.00586	0.00444	0.0039	0.00346	0.00388	0.0034
0.03152	0.03152	0.01998	0.03158	0.01938	0.01686	0.0085	0.0059	0.00444	0.00388	0.00344	0.00392	0.00342
0.03136	0.03148	0.01998	0.03144	0.0194	0.01686	0.0085	0.00588	0.00444	0.00386	0.00342	0.0039	0.00342
0.03144	0.0315	0.01998	0.03156	0.01944	0.01692	0.00852	0.0059	0.00446	0.00386	0.00346	0.0039	0.0034
0.03138	0.03144	0.01994	0.03154	0.0195	0.01688	0.00852	0.00592	0.00446	0.00384	0.00342	0.00388	0.00342
0.03142	0.03146	0.01998	0.03152	0.0194	0.0169	0.00848	0.00588	0.00444	0.0039	0.00344	0.00386	0.00346
0.03142	0.03148	0.0201	0.03154	0.01942	0.01694	0.0085	0.00586	0.00446	0.00386	0.00344	0.00388	0.00344
0.03148	0.0315	0.01994	0.03148	0.01948	0.01688	0.0085	0.00584	0.00444	0.00384	0.00342	0.0039	0.00344
0.03142	0.03152	0.01994	0.0315	0.01942	0.01692	0.00852	0.0059	0.00444	0.00388	0.00344	0.00388	0.00342
0.03144	0.03148	0.01996	0.03154	0.01942	0.01682	0.0085	0.0059	0.00446	0.0039	0.00342	0.00388	0.00344
0.03144	0.03146	0.02002	0.03152	0.0194	0.0169	0.0085	0.00588	0.00446	0.00388	0.00346	0.00388	0.00344
0.03136	0.03142	0.02004	0.03146	0.01948	0.01686	0.00852	0.00592	0.00446	0.00392	0.00348	0.00386	0.00342
0.03152	0.03154	0.01998	0.03148	0.01958	0.01688	0.00848	0.00588	0.00444	0.0039	0.00348	0.00386	0.00344
0.03144	0.03146	0.01994	0.03148	0.01944	0.0169	0.00852	0.00592	0.00446	0.00388	0.00348	0.00386	0.00344
0.0314	0.03148	0.02004	0.03152	0.01938	0.01684	0.00852	0.00588	0.00446	0.00388	0.00348	0.0039	0.00342
0.03148	0.03144	0.0199	0.0315	0.01946	0.01694	0.0085	0.00586	0.00446	0.00388	0.00346	0.0039	0.00346
0.03148	0.03152	0.01998	0.03156	0.01946	0.01694	0.00848	0.00588	0.00448	0.00388	0.00344	0.00388	0.00346
