16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.0768	0.07696	0.05054	0.07702	0.04736	0.04114	0.02066	0.0147	0.0111	0.00942	0.00834	0.00942	0.00828
0.07676	0.07686	0.05056	0.07692	0.0474	0.04102	0.0206	0.01464	0.01108	0.00942	0.00834	0.0094	0.0083
0.0768	0.07686	0.05052	0.07696	0.04738	0.04118	0.0206	0.01466	0.01106	0.00938	0.0083	0.0094	0.00834
0.07682	0.07684	0.05052	0.07694	0.04738	0.04112	0.02062	0.01474	0.01108	0.0094	0.00826	0.00938	0.00832
0.07684	0.07684	0.05054	0.07684	0.04742	0.041	0.0206	0.01466	0.01104	0.00938	0.00836	0.00942	0.00834
0.07684	0.07692	0.0504	0.07688	0.04748	0.0411	0.02064	0.01468	0.01108	0.00944	0.00828	0.00944	0.00832
0.07682	0.0769	0.05054	0.07688	0.0474	0.04098	0.02054	0.0147	0.0111	0.00942	0.00832	0.00942	0.00838
0.07684	0.07684	0.05048	0.07692	0.04748	0.04118	0.02052	0.01474	0.01106	0.00938	0.00832	0.00942	0.0083
0.0769	0.07694	0.05058	0.0769	0.04734	0.04112	0.02052	0.01462	0.01108	0.0094	0.00836	0.00936	0.00832
0.07682	0.07702	0.05056	0.07686	0.04734	0.04112	0.02064	0.01464	0.0111	0.00938	0.00832	0.00944	0.0083
0.0768	0.07684	0.05044	0.07694	0.04742	0.04114	0.02062	0.01464	0.01106	0.00936	0.00824	0.0094	0.00832
0.07682	0.07686	0.05044	0.07694	0.0474	0.04102	0.02058	0.0147	0.01106	0.0094	0.00828	0.00938	0.00834
0.07688	0.07688	0.05046	0.0769	0.04748	0.04106	0.02052	0.01466	0.01108	0.00938	0.0083	0.00944	0.00834
0.0768	0.07682	0.05048	0.07704	0.04734	0.04112	0.02062	0.01468	0.01108	0.00938	0.0083	0.00938	0.00832
0.07688	0.07694	0.05054	0.07696	0.04744	0.04104	0.02068	0.01476	0.0111	0.00942	0.00832	0.0094	0.0083
0.07678	0.07686	0.0505	0.07696	0.04734	0.04102	0.0206	0.0147	0.01114	0.0094	0.00828	0.00944	0.00832
0.07686	0.07686	0.05052	0.0769	0.04736	0.04104	0.02054	0.01464	0.01108	0.00936	0.00834	0.00942	0.00826
0.07684	0.0769	0.0505	0.07692	0.0474	0.0411	0.02056	0.01464	0.01108	0.00938	0.00828	0.00942	0.0083
0.07686	0.07684	0.05054	0.07696	0.04742	0.04122	0.02062	0.01468	0.01114	0.00938	0.00834	0.00938	0.00828
0.07682	0.0768	0.05054	0.07686	0.04742	0.04106	0.02056	0.01476	0.01106	0.00936	0.00828	0.00938	0.00836
0.07684	0.07692	0.05048	0.07686	0.04734	0.04108	0.02068	0.01466	0.01108	0.00936	0.00834	0.00944	0.00834
0.07688	0.07708	0.05052	0.07694	0.04744	0.0411	0.0206	0.0147	0.0111	0.0094	0.00834	0.00942	0.00836
0.07682	0.07698	0.0505	0.07686	0.04742	0.04106	0.02068	0.01466	0.01106	0.00948	0.00832	0.00936	0.00834
0.0768	0.07694	0.05046	0.07698	0.04744	0.041	0.02062	0.01468	0.01108	0.00938	0.00834	0.00942	0.00836
0.07688	0.07692	0.0505	0.0769	0.0475	0.0411	0.02066	0.01466	0.01106	0.0094	0.0083	0.0094	0.00828
0.0768	0.07694	0.05056	0.07688	0.04738	0.0412	0.0206	0.01468	0.01104	0.0094	0.00832	0.00938	0.0083
0.07686	0.07688	0.05056	0.07704	0.04726	0.04112	0.0206	0.01466	0.01108	0.00944	0.00828	0.00942	0.00832
0.07682	0.0768	0.0505	0.07692	0.04746	0.04102	0.02056	0.0147	0.01112	0.00942	0.0083	0.0094	0.00828
0.07682	0.0769	0.05058	0.07696	0.04728	0.04116	0.02056	0.01468	0.01106	0.00938	0.00828	0.0094	0.00838
0.0769	0.07698	0.05052	0.07694	0.04736	0.04098	0.02056	0.01464	0.01104	0.00938	0.00838	0.0094	0.00832
0.07686	0.07702	0.0505	0.07696	0.04744	0.0411	0.02058	0.01466	0.01106	0.00942	0.00832	0.0094	0.00832
0.07688	0.0768	0.05058	0.0769	0.04744	0.04108	0.02058	0.01472	0.01106	0.00942	0.0083	0.00938	0.0083
0.07686	0.0769	0.0505	0.07692	0.0474	0.04102	0.02066	0.01466	0.01108	0.00944	0.00834	0.00946	0.00838
0.0769	0.07688	0.0505	0.07692	0.04734	0.04108	0.02058	0.01468	0.01104	0.00936	0.00832	0.0094	0.0083
0.07682	0.07688	0.0505	0.0769	0.04738	0.04106	0.0206	0.01464	0.01102	0.0094	0.00832	0.00936	0.00828
0.07682	0.0768	0.05064	0.07688	0.04736	0.0412	0.02064	0.0147	0.011	0.00938	0.00826	0.0094	0.0083
0.07684	0.07704	0.05056	0.077	0.04728	0.04112	0.02062	0.01466	0.01104	0.00944	0.00832	0.00942	0.00826
0.07676	0.07694	0.05048	0.077	0.04734	0.04112	0.02062	0.01476	0.01106	0.00944	0.00832	0.0094	0.00832
0.0768	0.0769	0.05054	0.0769	0.04746	0.04106	0.0206	0.01468	0.01108	0.00944	0.00838	0.00936	0.0083
0.07678	0.07692	0.05048	0.07688	0.04748	0.0411	0.02064	0.01474	0.01104	0.00938	0.00838	0.0094	0.00834
0.07684	0.07678	0.05044	0.07686	0.04746	0.04102	0.02062	0.01466	0.01102	0.0094	0.0083	0.00942	0.00832
0.07688	0.07684	0.05058	0.07694	0.04746	0.04114	0.02058	0.01474	0.011	0.0094	0.00832	0.0094	0.00836
0.0768	0.07696	0.05042	0.077	0.04734	0.0411	0.02056	0.01466	0.01104	0.00938	0.00828	0.0094	0.00834
0.07684	0.0769	0.05054	0.07692	0.04738	0.04104	0.02058	0.01464	0.01104	0.00938	0.0083	0.00938	0.00838
0.07676	0.077	0.05048	0.07704	0.04746	0.04118	0.02068	0.01466	0.01106	0.00938	0.00828	0.0094	0.00834
0.07678	0.0768	0.05062	0.07696	0.04738	0.04116	0.02064	0.01468	0.01106	0.00938	0.0083	0.00938	0.00826
0.07682	0.07698	0.0505	0.07688	0.04728	0.041	0.0207	0.01468	0.011	0.00942	0.0083	0.0094	0.00832
0.07684	0.077	0.05056	0.07686	0.04734	0.04102	0.0206	0.01468	0.01102	0.00942	0.00832	0.00938	0.0083
0.07688	0.07684	0.05056	0.0769	0.04746	0.04104	0.02062	0.01462	0.01104	0.00936	0.00832	0.00938	0.00834
0.0769	0.07694	0.05062	0.07684	0.0474	0.04118	0.02058	0.01466	0.01102	0.00936	0.00832	0.00942	0.0083
0.07688	0.07684	0.05052	0.07694	0.04744	0.04098	0.02056	0.01468	0.01102	0.0094	0.00836	0.00942	0.00836
0.07692	0.07688	0.0506	0.07692	0.04738	0.04112	0.02056	0.01464	0.01106	0.00944	0.0083	0.00936	0.00836
