16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.0404	0.0404	0.03112	0.0404	0.02494	0.02162	0.01088	0.00904	0.00686	0.00622	0.00556	0.00624	0.0055
0.04044	0.04048	0.0311	0.04042	0.02502	0.02158	0.01096	0.00906	0.00684	0.00622	0.00552	0.0063	0.00552
0.04038	0.04038	0.03106	0.0405	0.02504	0.0217	0.01088	0.00906	0.00688	0.00626	0.00554	0.00624	0.00556
0.04034	0.04046	0.03108	0.04046	0.02508	0.02162	0.01086	0.00912	0.00686	0.0062	0.00556	0.00626	0.00558
0.04038	0.04042	0.03108	0.04046	0.02498	0.02162	0.01088	0.00908	0.00684	0.00626	0.00554	0.00624	0.0055
0.04036	0.04042	0.03114	0.0404	0.02494	0.02158	0.01092	0.0091	0.00686	0.00622	0.00556	0.00624	0.00558
0.04036	0.0404	0.03118	0.04048	0.02488	0.02166	0.01086	0.0091	0.00684	0.00624	0.0055	0.00628	0.00554
0.0404	0.04042	0.03114	0.0405	0.0249	0.02166	0.01088	0.00912	0.00684	0.00622	0.00556	0.00624	0.00556
0.04036	0.04044	0.03112	0.04056	0.02492	0.02168	0.01086	0.0091	0.0069	0.0063	0.00552	0.00624	0.00552
0.04034	0.04048	0.03112	0.04046	0.02492	0.02162	0.01088	0.00908	0.00684	0.0062	0.00552	0.00628	0.00556
0.04036	0.04042	0.03112	0.04054	0.02486	0.02164	0.01084	0.00908	0.00678	0.00626	0.00556	0.00624	0.00552
0.0404	0.04038	0.03106	0.04046	0.02498	0.02158	0.01088	0.0091	0.00686	0.00626	0.00558	0.00626	0.00552
0.04036	0.0404	0.03108	0.04052	0.02498	0.02162	0.01096	0.00912	0.0069	0.00626	0.00556	0.00624	0.00552
0.04034	0.04042	0.0311	0.04042	0.02492	0.02164	0.0109	0.00908	0.00686	0.00622	0.00556	0.00626	0.00554
0.04032	0.04042	0.03106	0.04044	0.02494	0.02164	0.01086	0.00906	0.00684	0.00624	0.00554	0.00626	0.0056
0.04042	0.04048	0.03108	0.04048	0.0249	0.0216	0.01084	0.00912	0.00684	0.0062	0.00556	0.0062	0.00552
0.04038	0.04046	0.03108	0.04042	0.02488	0.02162	0.01086	0.00904	0.00686	0.00626	0.00556	0.00626	0.00554
0.04028	0.04042	0.031	0.04052	0.02498	0.02162	0.01084	0.00906	0.00682	0.00626	0.00552	0.00626	0.00552
0.0404	0.04044	0.03114	0.0406	0.02488	0.0216	0.01096	0.0091	0.0069	0.00622	0.00552	0.00626	0.00554
0.04034	0.04042	0.031	0.04048	0.02502	0.02162	0.01084	0.00904	0.00684	0.00626	0.00552	0.00626	0.00554
0.04042	0.04048	0.03106	0.04052	0.0249	0.02164	0.01092	0.00908	0.0068	0.00626	0.00556	0.00622	0.0055
0.04038	0.04042	0.03112	0.04044	0.025	0.0217	0.0109	0.00908	0.00682	0.00626	0.00554	0.00622	0.00554
0.04034	0.0404	0.03112	0.04058	0.0249	0.0216	0.0109	0.0091	0.00686	0.00626	0.00554	0.00622	0.00554
0.04032	0.0404	0.03104	0.04062	0.02492	0.02158	0.0109	0.00906	0.00686	0.00624	0.00552	0.00628	0.00556
0.0403	0.04046	0.0311	0.04046	0.02498	0.02172	0.01092	0.00908	0.00678	0.00626	0.00552	0.00626	0.00556
0.04032	0.0405	0.03106	0.0405	0.02494	0.02158	0.01086	0.00908	0.00684	0.00624	0.00554	0.00622	0.00554
0.04038	0.04042	0.03104	0.04038	0.02492	0.0217	0.01088	0.00906	0.0069	0.00622	0.00554	0.00626	0.0055
0.04034	0.04042	0.03108	0.04046	0.02486	0.02156	0.01092	0.0091	0.00686	0.0062	0.00552	0.00626	0.00554
0.0404	0.0404	0.03102	0.04038	0.02492	0.02162	0.01088	0.0091	0.00684	0.00628	0.00556	0.0063	0.00552
0.04032	0.04042	0.03102	0.04046	0.02504	0.0216	0.01082	0.00908	0.00686	0.00624	0.00556	0.00622	0.00552
0.04044	0.0405	0.0311	0.04046	0.02492	0.02162	0.01086	0.00908	0.00686	0.00624	0.00552	0.00622	0.00556
0.04038	0.04042	0.0311	0.04056	0.02498	0.0216	0.0109	0.0091	0.00682	0.00626	0.00556	0.00628	0.00552
0.04038	0.04044	0.03108	0.04054	0.02492	0.02168	0.0109	0.00904	0.00686	0.00624	0.00552	0.00626	0.00554
0.0404	0.04042	0.03106	0.04054	0.02488	0.02156	0.01088	0.00908	0.00686	0.00624	0.0055	0.0063	0.00556
0.04034	0.04042	0.03102	0.04046	0.02496	0.02174	0.01088	0.00908	0.00684	0.00628	0.00556	0.00628	0.00554
0.04034	0.04044	0.03108	0.04054	0.02508	0.02158	0.01094	0.0091	0.00688	0.00628	0.00552	0.00624	0.00554
0.04046	0.04046	0.03112	0.04046	0.02506	0.02162	0.01082	0.00906	0.00688	0.00624	0.00552	0.00624	0.00552
0.0404	0.04044	0.03106	0.04054	0.0249	0.02158	0.01082	0.00904	0.00686	0.00626	0.00554	0.00628	0.00554
0.0403	0.04042	0.03106	0.0405	0.02494	0.02166	0.01086	0.00908	0.00686	0.00624	0.00556	0.00626	0.0055
0.04036	0.04038	0.03106	0.04054	0.02492	0.02166	0.01088	0.0091	0.0068	0.00626	0.00554	0.00626	0.00554
0.04036	0.04046	0.0311	0.04052	0.02488	0.0217	0.0109	0.00906	0.00682	0.00624	0.00552	0.00622	0.0055
0.04038	0.04038	0.03108	0.04046	0.0249	0.02162	0.0109	0.00912	0.00682	0.00624	0.00554	0.00622	0.00554
0.04032	0.04042	0.03108	0.04046	0.02494	0.02168	0.0109	0.0091	0.00686	0.00626	0.0055	0.0063	0.00558
0.04036	0.04038	0.0312	0.0405	0.02494	0.02162	0.01088	0.00912	0.00686	0.00628	0.00554	0.00622	0.00552
0.04034	0.04044	0.03116	0.04052	0.02494	0.02168	0.01088	0.00912	0.00684	0.00626	0.00554	0.00626	0.00554
0.04044	0.0405	0.03102	0.04052	0.025	0.0217	0.0109	0.00912	0.00686	0.00628	0.00554	0.00628	0.00552
0.04044	0.04048	0.03102	0.04048	0.0249	0.0216	0.01092	0.0091	0.0069	0.00624	0.00556	0.00626	0.00554
0.04036	0.04046	0.03114	0.04042	0.0249	0.02164	0.01084	0.00906	0.00686	0.00624	0.00556	0.0062	0.00554
0.04042	0.04044	0.03098	0.04048	0.02488	0.02164	0.01096	0.0091	0.00686	0.00626	0.00554	0.00626	0.00554
0.04044	0.04044	0.03102	0.04046	0.02492	0.02174	0.01088	0.0091	0.00684	0.00622	0.00552	0.00624	0.00552
0.04038	0.04038	0.03112	0.04054	0.02494	0.02172	0.01088	0.00912	0.00682	0.00624	0.00552	0.00622	0.00554
0.0404	0.04042	0.0311	0.04046	0.02492	0.02164	0.01084	0.0091	0.00678	0.00624	0.00554	0.0062	0.00554
