16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.07766	0.07766	0.0634	0.07774	0.04778	0.0415	0.02076	0.01834	0.01382	0.01392	0.0123	0.01394	0.01222
0.07748	0.0776	0.06334	0.0777	0.0479	0.0415	0.02084	0.01838	0.01376	0.01388	0.01224	0.01384	0.01226
0.0776	0.0776	0.06344	0.07776	0.04778	0.04134	0.02078	0.01836	0.01388	0.01384	0.0122	0.01386	0.0123
0.07752	0.07772	0.0632	0.0777	0.04778	0.04148	0.0209	0.01838	0.01386	0.01388	0.01224	0.01394	0.01222
0.07752	0.07768	0.0632	0.07774	0.04782	0.04152	0.02082	0.01836	0.01382	0.01388	0.01224	0.0139	0.01228
0.07764	0.07762	0.06328	0.07772	0.04788	0.04148	0.02074	0.01844	0.01386	0.01386	0.01224	0.01384	0.0122
0.07754	0.07758	0.06326	0.07772	0.04784	0.0415	0.02078	0.01838	0.0139	0.01388	0.01224	0.01384	0.01234
0.07754	0.07766	0.0634	0.07774	0.04784	0.04154	0.02074	0.01836	0.01382	0.01386	0.0123	0.01394	0.01224
0.0776	0.07762	0.06344	0.0778	0.0478	0.04154	0.0208	0.01832	0.01384	0.01384	0.0123	0.01388	0.01224
0.0775	0.07758	0.06336	0.07768	0.04782	0.04144	0.02076	0.01838	0.01384	0.01388	0.01226	0.01384	0.01226
0.07762	0.07768	0.06336	0.07762	0.04776	0.04148	0.02076	0.01848	0.0138	0.01386	0.01222	0.0138	0.01226
0.07756	0.07768	0.06324	0.07778	0.0479	0.04148	0.02076	0.01838	0.01384	0.01388	0.01224	0.01382	0.01226
0.07758	0.07762	0.0633	0.07774	0.0479	0.04152	0.02082	0.01836	0.0138	0.01384	0.01224	0.01386	0.01226
0.07762	0.07768	0.06334	0.07764	0.0478	0.04142	0.02084	0.01842	0.01382	0.01384	0.01222	0.01386	0.01226
0.0776	0.07762	0.06324	0.07778	0.0479	0.04148	0.0208	0.01834	0.0138	0.0139	0.01224	0.01382	0.01224
0.0775	0.07762	0.0632	0.07764	0.0478	0.04154	0.02076	0.01836	0.01384	0.0138	0.01226	0.01384	0.01222
0.0775	0.07756	0.06326	0.07772	0.04786	0.04152	0.02076	0.01836	0.01388	0.01388	0.01222	0.01382	0.01222
0.07752	0.0776	0.06322	0.07774	0.04786	0.04152	0.02078	0.01838	0.01384	0.01384	0.0123	0.01394	0.01228
0.07752	0.0777	0.06328	0.07778	0.0479	0.04152	0.02078	0.01838	0.01384	0.01384	0.01222	0.01388	0.01228
0.07752	0.07758	0.06328	0.0777	0.04774	0.04142	0.02082	0.01844	0.01386	0.01386	0.01222	0.01388	0.01222
0.07756	0.07764	0.06336	0.07772	0.0479	0.04146	0.02076	0.01834	0.01384	0.01382	0.01232	0.01388	0.01226
0.07758	0.07758	0.06328	0.07776	0.04792	0.04144	0.02078	0.01844	0.01378	0.01388	0.01228	0.01384	0.01228
0.07754	0.07754	0.06338	0.07774	0.04792	0.0414	0.02078	0.01844	0.01386	0.01382	0.01222	0.01384	0.01232
0.0775	0.07778	0.06326	0.07764	0.04778	0.04156	0.0208	0.01838	0.01378	0.01386	0.01224	0.01382	0.01224
0.07746	0.07772	0.06338	0.07758	0.0479	0.0415	0.02084	0.01836	0.01386	0.01386	0.01224	0.01384	0.01224
0.07754	0.07754	0.0633	0.0778	0.0478	0.04158	0.0208	0.01834	0.01386	0.0139	0.01224	0.0138	0.01222
0.07756	0.07768	0.0633	0.0779	0.04778	0.04148	0.0208	0.01836	0.0138	0.01384	0.01224	0.01388	0.01222
0.0776	0.0777	0.06324	0.0777	0.04778	0.0415	0.02076	0.0184	0.01382	0.01382	0.01222	0.01386	0.01224
0.07756	0.07762	0.06332	0.07768	0.04784	0.0415	0.02082	0.01838	0.01382	0.01386	0.01228	0.01386	0.01226
0.07766	0.07756	0.06336	0.07776	0.04792	0.04142	0.02086	0.01848	0.01386	0.01384	0.01224	0.01384	0.0123
0.07756	0.07758	0.0633	0.07774	0.04784	0.04152	0.02082	0.01836	0.01384	0.01392	0.0122	0.01392	0.01222
0.07752	0.0776	0.06336	0.07778	0.04782	0.04154	0.02076	0.0184	0.01388	0.01382	0.01226	0.01388	0.01226
0.07746	0.0777	0.06338	0.0778	0.0478	0.04156	0.0208	0.01842	0.01388	0.01384	0.01222	0.0139	0.01226
0.0775	0.07766	0.06344	0.07786	0.04774	0.04142	0.02076	0.01836	0.01388	0.0138	0.01226	0.01394	0.0123
0.07752	0.07766	0.0632	0.07778	0.0479	0.04144	0.02078	0.01838	0.0138	0.01392	0.01226	0.01386	0.01224
0.07766	0.0776	0.06344	0.07758	0.0479	0.0415	0.0209	0.01842	0.01378	0.01378	0.01226	0.01386	0.01222
0.07752	0.07766	0.06336	0.07768	0.04784	0.04162	0.02082	0.0184	0.01382	0.01384	0.01226	0.01378	0.01228
0.07766	0.07752	0.06342	0.0778	0.04782	0.04148	0.02084	0.01834	0.01382	0.01382	0.01224	0.01388	0.01224
0.07754	0.07772	0.0633	0.0778	0.04798	0.04144	0.02086	0.01836	0.01384	0.01384	0.01222	0.0138	0.01222
0.07748	0.0777	0.06328	0.07776	0.0478	0.04146	0.02082	0.01836	0.01382	0.01388	0.01222	0.01382	0.01228
0.07754	0.07764	0.06328	0.07772	0.04782	0.0414	0.02082	0.01846	0.01386	0.0138	0.0123	0.01384	0.01228
0.07756	0.07768	0.06324	0.07778	0.0478	0.04142	0.02076	0.01834	0.01388	0.01386	0.01222	0.01388	0.01222
0.07758	0.07766	0.06336	0.07772	0.04782	0.04146	0.02084	0.01838	0.01382	0.01386	0.01228	0.01386	0.01224
0.07758	0.07762	0.06336	0.0779	0.04782	0.04158	0.02078	0.0183	0.01384	0.01392	0.01224	0.01388	0.01222
0.07764	0.07762	0.0633	0.07772	0.04792	0.04146	0.02074	0.01832	0.0138	0.01388	0.0122	0.01388	0.01224
0.0775	0.07762	0.06338	0.07772	0.04788	0.0414	0.02074	0.01834	0.0138	0.0139	0.01222	0.01392	0.01224
0.07756	0.07762	0.06336	0.0778	0.0478	0.04144	0.02086	0.01836	0.0138	0.01386	0.01226	0.0139	0.0122
0.07758	0.07764	0.06344	0.07762	0.04786	0.04158	0.0208	0.01842	0.0138	0.01384	0.01222	0.0139	0.01226
0.0775	0.07774	0.06328	0.0777	0.04786	0.04136	0.02086	0.01838	0.0138	0.01384	0.01226	0.01384	0.01232
0.07758	0.07774	0.06332	0.07784	0.04794	0.04152	0.0209	0.01832	0.01382	0.01386	0.01222	0.01382	0.01226
0.07756	0.07766	0.06334	0.07772	0.0478	0.04156	0.02076	0.0184	0.01388	0.01384	0.01224	0.01384	0.01226
0.07756	0.0777	0.06332	0.07784	0.04802	0.04144	0.02084	0.01842	0.01382	0.01388	0.01226	0.01388	0.01224
