16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.03274	0.03282	0.02022	0.03274	0.02024	0.01756	0.00882	0.00594	0.00448	0.00366	0.00328	0.00366	0.0033
0.0327	0.03284	0.0202	0.03276	0.02034	0.01758	0.00888	0.006	0.00452	0.00366	0.00326	0.00364	0.00328
0.03278	0.03288	0.02026	0.03274	0.02026	0.01764	0.0088	0.00596	0.00452	0.00366	0.00322	0.00364	0.00326
0.03274	0.03286	0.02026	0.03274	0.02022	0.0175	0.00884	0.00598	0.00448	0.00366	0.00322	0.0037	0.00324
0.03276	0.03282	0.02024	0.03288	0.02032	0.01762	0.0088	0.00596	0.00452	0.00366	0.00322	0.00364	0.00326
0.03268	0.03276	0.0202	0.03272	0.02028	0.01754	0.00888	0.00598	0.00452	0.00368	0.00326	0.00368	0.00326
0.03272	0.03278	0.02022	0.03276	0.0202	0.01756	0.00888	0.00598	0.00454	0.00368	0.00324	0.00368	0.00326
0.03278	0.03272	0.0202	0.03282	0.02022	0.01754	0.00884	0.00596	0.0045	0.00366	0.00324	0.00368	0.00326
0.0328	0.03282	0.02024	0.03276	0.02024	0.01758	0.00882	0.00598	0.00452	0.00364	0.00324	0.00366	0.00324
0.03278	0.03282	0.02026	0.03278	0.0203	0.01758	0.0088	0.00596	0.00452	0.00368	0.00324	0.0037	0.00326
0.0327	0.03278	0.02026	0.0328	0.02018	0.01758	0.00886	0.00596	0.00452	0.00366	0.00324	0.00368	0.00322
0.03282	0.0328	0.02024	0.0328	0.0203	0.0176	0.00884	0.006	0.00452	0.00368	0.00324	0.00368	0.00328
0.0327	0.03274	0.0202	0.03274	0.02028	0.01754	0.00882	0.00598	0.00454	0.00366	0.00324	0.00366	0.00322
0.03278	0.03278	0.02032	0.03278	0.02026	0.01748	0.00884	0.00598	0.00448	0.00364	0.00324	0.0037	0.00324
0.03272	0.0328	0.0202	0.03278	0.0203	0.01756	0.00892	0.00596	0.00456	0.00368	0.00322	0.00366	0.00326
0.03276	0.03278	0.02024	0.03274	0.02022	0.01752	0.00886	0.00594	0.0045	0.00366	0.00324	0.0037	0.00326
0.03276	0.03276	0.02018	0.03276	0.02028	0.01756	0.0088	0.00596	0.00448	0.00368	0.00326	0.00364	0.0033
0.0327	0.0328	0.02022	0.0328	0.02024	0.01762	0.0088	0.00596	0.0045	0.00366	0.00328	0.00366	0.00328
0.03266	0.03274	0.02028	0.03286	0.02018	0.0175	0.00888	0.006	0.0045	0.00368	0.00328	0.00366	0.00326
0.03274	0.03276	0.02026	0.03276	0.02018	0.01756	0.00878	0.00598	0.00456	0.00368	0.00328	0.00366	0.0033
0.03278	0.03276	0.02022	0.03276	0.02024	0.01752	0.0089	0.00596	0.0045	0.00368	0.00328	0.00368	0.00324
0.0327	0.03274	0.02028	0.03278	0.02028	0.0176	0.00886	0.00596	0.00446	0.00366	0.00328	0.0037	0.00322
0.03274	0.03278	0.02026	0.0328	0.02028	0.01754	0.00886	0.00596	0.00452	0.00366	0.0033	0.00364	0.00326
0.0327	0.03274	0.02028	0.0328	0.02024	0.01754	0.00884	0.00594	0.00454	0.00364	0.00326	0.00368	0.00324
0.03272	0.03278	0.02022	0.03272	0.02018	0.01762	0.0088	0.00594	0.0045	0.00368	0.00326	0.00364	0.00326
0.0327	0.03278	0.02018	0.03282	0.02026	0.01758	0.00884	0.006	0.0045	0.00362	0.00326	0.00364	0.00326
0.03274	0.03276	0.02028	0.03274	0.0203	0.01752	0.00882	0.00598	0.0045	0.00364	0.00326	0.00364	0.00326
0.0327	0.03274	0.02026	0.03282	0.02022	0.01756	0.00882	0.00592	0.0045	0.00368	0.00322	0.0037	0.00328
0.03272	0.0328	0.02026	0.03282	0.0202	0.01756	0.0089	0.006	0.0045	0.00368	0.00328	0.00366	0.00328
0.03276	0.03282	0.02022	0.03278	0.0202	0.01756	0.00886	0.00592	0.00448	0.00366	0.00324	0.00368	0.00328
0.0327	0.03278	0.0202	0.03278	0.02018	0.0175	0.00888	0.00598	0.0045	0.0037	0.00324	0.00368	0.00322
0.03272	0.03284	0.0202	0.03288	0.02032	0.01758	0.0089	0.00596	0.00452	0.00368	0.00324	0.00368	0.00326
0.0327	0.03272	0.02024	0.03284	0.0203	0.01756	0.00886	0.00594	0.0045	0.00364	0.00326	0.00366	0.00326
0.0328	0.03274	0.02022	0.03276	0.0202	0.01754	0.00884	0.006	0.00452	0.00368	0.00326	0.0037	0.0033
0.03276	0.0328	0.02022	0.03276	0.0203	0.01752	0.00882	0.00596	0.0045	0.00368	0.00324	0.00362	0.00326
0.03272	0.03278	0.02028	0.03276	0.02018	0.01758	0.00882	0.00592	0.00452	0.00368	0.00324	0.00366	0.0033
0.0328	0.0328	0.02024	0.03278	0.02026	0.01748	0.00886	0.00596	0.00454	0.00366	0.00324	0.0037	0.0033
0.03272	0.03284	0.0202	0.03274	0.0202	0.01752	0.00884	0.00596	0.0045	0.00366	0.00324	0.00366	0.00328
0.03274	0.03274	0.02024	0.03276	0.02032	0.01764	0.00886	0.00592	0.0045	0.00368	0.00326	0.00366	0.00324
0.0327	0.03278	0.02024	0.03276	0.0202	0.01758	0.0089	0.00596	0.0045	0.00366	0.00328	0.0037	0.00326
0.0327	0.03278	0.02022	0.03278	0.02018	0.01752	0.00878	0.00594	0.00454	0.00366	0.00326	0.00364	0.00324
0.03272	0.03284	0.02026	0.03284	0.02022	0.0176	0.00886	0.00594	0.00452	0.00368	0.00328	0.00364	0.00322
0.03274	0.03274	0.02022	0.03282	0.0203	0.01758	0.0088	0.00594	0.00448	0.00366	0.00328	0.00364	0.00328
0.0327	0.03278	0.02022	0.03288	0.02024	0.0175	0.00886	0.00594	0.00452	0.00366	0.00328	0.00366	0.00328
0.03274	0.03274	0.0202	0.03278	0.02018	0.01762	0.00884	0.00596	0.00454	0.0037	0.00328	0.00368	0.00326
0.0328	0.0328	0.02024	0.03274	0.02022	0.0176	0.00888	0.00602	0.0045	0.00366	0.00326	0.0037	0.00328
0.0327	0.0327	0.02026	0.03276	0.02026	0.01754	0.00888	0.00598	0.00454	0.00362	0.00322	0.00366	0.00326
0.03276	0.03278	0.02022	0.03282	0.02038	0.01752	0.0089	0.00594	0.0045	0.00368	0.00324	0.00368	0.00326
0.03272	0.03278	0.02018	0.03282	0.02026	0.01762	0.00882	0.00596	0.00452	0.00364	0.00324	0.00368	0.00328
0.03274	0.03276	0.0202	0.03276	0.02018	0.01756	0.00884	0.00592	0.00454	0.00368	0.00324	0.00368	0.00324
0.0327	0.03274	0.0202	0.0328	0.02024	0.01754	0.0088	0.00592	0.00448	0.00366	0.00326	0.00366	0.00324
0.03272	0.0328	0.02022	0.03278	0.02028	0.01754	0.00888	0.00592	0.00452	0.00368	0.00326	0.00372	0.0033
