16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.02702	0.02712	0.0197	0.02704	0.01668	0.01452	0.00734	0.0058	0.0044	0.00392	0.00348	0.00394	0.0035
0.02704	0.0271	0.01976	0.02708	0.01668	0.01456	0.00734	0.0058	0.00442	0.0039	0.00352	0.00392	0.00346
0.02706	0.02708	0.0198	0.0271	0.01668	0.01452	0.00736	0.00582	0.0044	0.00392	0.0035	0.00388	0.00346
0.02708	0.02714	0.01972	0.02712	0.01678	0.0145	0.00732	0.0058	0.00438	0.0039	0.00348	0.00392	0.00344
0.027	0.02718	0.01976	0.02714	0.01674	0.01454	0.00728	0.00578	0.0044	0.00392	0.00348	0.0039	0.00348
0.02704	0.0271	0.0198	0.02714	0.01672	0.01454	0.00734	0.0058	0.00436	0.0039	0.00348	0.00392	0.00348
0.02704	0.02718	0.01976	0.02712	0.01676	0.01452	0.00732	0.00582	0.00442	0.00392	0.00348	0.00392	0.0035
0.02702	0.02712	0.01974	0.02708	0.01674	0.0145	0.0073	0.00578	0.00436	0.00392	0.00348	0.0039	0.00352
0.02704	0.02712	0.01966	0.0271	0.01672	0.01458	0.0073	0.00582	0.00436	0.00392	0.0035	0.00392	0.0035
0.02706	0.02708	0.01986	0.02708	0.01678	0.0145	0.0073	0.0058	0.00438	0.00394	0.00348	0.00392	0.00346
0.02704	0.02712	0.01974	0.02708	0.01676	0.01448	0.00734	0.0058	0.00442	0.00388	0.00348	0.00392	0.0035
0.0271	0.02712	0.01976	0.02708	0.01674	0.01454	0.00738	0.0058	0.00442	0.0039	0.00348	0.00396	0.00346
0.02702	0.02708	0.0197	0.0271	0.01688	0.0145	0.0073	0.00582	0.0044	0.0039	0.00348	0.0039	0.00346
0.02708	0.0271	0.0197	0.02712	0.01678	0.01452	0.0073	0.00576	0.00434	0.0039	0.0035	0.00392	0.00346
0.02702	0.0271	0.0198	0.02716	0.01676	0.01448	0.0073	0.00582	0.00438	0.00394	0.0035	0.00394	0.00348
0.02714	0.02712	0.01966	0.0271	0.01682	0.01452	0.0073	0.00582	0.00438	0.00394	0.0035	0.00392	0.00344
0.02704	0.02708	0.01972	0.0271	0.0168	0.01452	0.00738	0.00578	0.0044	0.00392	0.00346	0.00392	0.00346
0.02702	0.02706	0.01976	0.0271	0.01678	0.01452	0.0073	0.0058	0.0044	0.00388	0.00348	0.0039	0.00348
0.02708	0.02714	0.01976	0.02706	0.01678	0.01452	0.00738	0.00578	0.0044	0.00394	0.00348	0.00392	0.00344
0.0271	0.02712	0.01974	0.0271	0.01674	0.01458	0.00732	0.0058	0.0044	0.0039	0.00348	0.0039	0.0035
0.02704	0.02708	0.0197	0.02708	0.01678	0.0145	0.00736	0.00582	0.0044	0.00392	0.00348	0.00392	0.00352
0.02706	0.0271	0.01976	0.02708	0.0168	0.0145	0.00736	0.00584	0.00438	0.00392	0.0035	0.00394	0.00352
0.02704	0.02708	0.01966	0.0271	0.01672	0.0145	0.00732	0.00576	0.00442	0.00394	0.00346	0.00394	0.0035
0.02706	0.02714	0.01972	0.02714	0.01672	0.01452	0.00732	0.00582	0.00434	0.00394	0.00348	0.00392	0.00348
0.027	0.02708	0.0197	0.02708	0.01674	0.01458	0.00728	0.0058	0.0044	0.00388	0.00344	0.00392	0.00348
0.02704	0.02708	0.0198	0.02708	0.01678	0.01458	0.00736	0.00582	0.0044	0.00394	0.00346	0.0039	0.00346
0.02704	0.0271	0.0197	0.0271	0.01676	0.01448	0.00732	0.00584	0.00442	0.00392	0.0035	0.00392	0.0035
0.02706	0.02712	0.01972	0.02712	0.01674	0.01448	0.0073	0.00582	0.00444	0.00392	0.0035	0.0039	0.00348
0.02708	0.02704	0.0197	0.02712	0.01674	0.01454	0.00732	0.00578	0.00438	0.00392	0.00348	0.00394	0.00348
0.02702	0.0271	0.0198	0.0271	0.01678	0.01452	0.00734	0.00584	0.0044	0.0039	0.00348	0.00392	0.00348
0.02716	0.02708	0.01974	0.02706	0.01672	0.01452	0.00734	0.00578	0.0044	0.00392	0.00346	0.00394	0.00346
0.02706	0.02708	0.01978	0.02712	0.01668	0.01448	0.00732	0.00582	0.00438	0.0039	0.00348	0.0039	0.00346
0.02716	0.02708	0.01972	0.0271	0.0167	0.0145	0.00736	0.0058	0.0044	0.00394	0.0035	0.0039	0.00344
0.02702	0.02706	0.01982	0.02712	0.01674	0.01448	0.00732	0.0058	0.0044	0.00392	0.00344	0.00392	0.0035
0.02702	0.0271	0.01964	0.0271	0.01674	0.01448	0.0073	0.00578	0.00442	0.00394	0.00346	0.00394	0.0035
0.02706	0.02714	0.01976	0.02716	0.01674	0.01446	0.00734	0.00582	0.0044	0.0039	0.00346	0.00392	0.00352
0.02706	0.02708	0.01976	0.0271	0.0167	0.01452	0.00736	0.00584	0.00438	0.0039	0.00348	0.00392	0.00348
0.02702	0.02708	0.01976	0.02712	0.0167	0.01456	0.00728	0.00582	0.00436	0.00392	0.00348	0.00392	0.00348
0.02708	0.02718	0.01988	0.02712	0.01672	0.01458	0.00734	0.00576	0.00442	0.00388	0.00352	0.0039	0.00346
0.02704	0.0271	0.01972	0.02704	0.01676	0.0145	0.00736	0.00576	0.00438	0.00392	0.0035	0.00392	0.00348
0.02704	0.02712	0.01968	0.02708	0.01672	0.01458	0.00734	0.00582	0.00442	0.00394	0.00344	0.00392	0.00348
0.02702	0.0271	0.01976	0.02708	0.0168	0.01458	0.00732	0.0058	0.0044	0.00388	0.00346	0.00394	0.00346
0.02706	0.0271	0.01984	0.02712	0.0167	0.01454	0.00736	0.00584	0.0044	0.00392	0.00348	0.00394	0.00348
0.02704	0.02706	0.0197	0.02716	0.01672	0.0146	0.00736	0.00582	0.00438	0.00392	0.00348	0.0039	0.00344
0.0271	0.02712	0.01974	0.02708	0.01672	0.0145	0.00732	0.0058	0.0044	0.00388	0.00346	0.0039	0.00348
0.02702	0.02712	0.0197	0.02712	0.01672	0.01454	0.0073	0.0058	0.00438	0.0039	0.00346	0.00396	0.00348
0.02698	0.02708	0.01976	0.02712	0.0168	0.01446	0.0073	0.00582	0.00436	0.0039	0.00346	0.00392	0.00348
0.02708	0.02712	0.0197	0.02708	0.01678	0.01448	0.00734	0.00578	0.00438	0.00394	0.00348	0.0039	0.0035
0.02704	0.02708	0.01972	0.02704	0.01668	0.0146	0.00734	0.00578	0.0044	0.0039	0.00344	0.00388	0.00352
0.02706	0.0271	0.01974	0.02712	0.01668	0.01462	0.0073	0.0058	0.0044	0.00388	0.0035	0.00392	0.00352
0.02706	0.0271	0.0197	0.02706	0.0167	0.0145	0.00732	0.0058	0.0044	0.00394	0.0035	0.00392	0.00346
0.02704	0.0271	0.01974	0.02706	0.01668	0.01448	0.00736	0.00584	0.0044	0.00392	0.00352	0.00394	0.00348
