16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.30306	0.30302	0.20546	0.30312	0.18668	0.16176	0.08086	0.05948	0.04454	0.03896	0.0344	0.03898	0.03432
0.303	0.30318	0.2053	0.30328	0.1866	0.16178	0.08108	0.05928	0.04452	0.03894	0.0343	0.03904	0.03446
0.30298	0.3029	0.2054	0.30324	0.1867	0.16168	0.081	0.05934	0.04452	0.0389	0.0344	0.0389	0.03432
0.3031	0.30314	0.2054	0.30316	0.18672	0.1619	0.08082	0.05938	0.04456	0.03902	0.0343	0.03896	0.03444
0.30308	0.3031	0.20544	0.30304	0.18652	0.16194	0.08094	0.05938	0.0446	0.03888	0.03436	0.03884	0.03436
0.30308	0.30304	0.20526	0.30336	0.18652	0.16186	0.08084	0.05932	0.04452	0.03886	0.03444	0.039	0.03434
0.30296	0.30286	0.20526	0.30296	0.18674	0.16168	0.0808	0.05944	0.04452	0.03888	0.03438	0.0389	0.0344
0.30316	0.30326	0.20544	0.30318	0.1867	0.16178	0.08076	0.05938	0.0445	0.03892	0.03436	0.0389	0.03434
0.30316	0.3029	0.20528	0.30322	0.18638	0.16176	0.0807	0.0593	0.04452	0.03898	0.03442	0.03888	0.03438
0.30324	0.30298	0.20532	0.3032	0.18664	0.16184	0.08082	0.05942	0.04464	0.03892	0.03438	0.03884	0.0344
0.3031	0.3031	0.20538	0.30302	0.1866	0.1618	0.08086	0.0594	0.04454	0.03896	0.0344	0.03896	0.0343
0.30288	0.30298	0.20534	0.30308	0.1865	0.16186	0.08096	0.05936	0.04454	0.0389	0.03444	0.03892	0.0344
0.30328	0.30296	0.2052	0.30302	0.18644	0.16168	0.08098	0.0594	0.0445	0.03892	0.03428	0.03894	0.0344
0.30304	0.30328	0.20536	0.30324	0.18656	0.16174	0.08076	0.05936	0.04454	0.03906	0.03444	0.03892	0.0344
0.30292	0.30296	0.20508	0.3032	0.18676	0.1619	0.0808	0.05934	0.04448	0.03888	0.03438	0.03894	0.03446
0.30306	0.30286	0.20532	0.3034	0.18652	0.16174	0.08088	0.05936	0.04454	0.03902	0.03438	0.03888	0.03442
0.30286	0.3032	0.20524	0.30304	0.18668	0.16188	0.08098	0.05928	0.04454	0.03894	0.03446	0.0389	0.0344
0.30304	0.30296	0.20538	0.30328	0.18658	0.16174	0.08082	0.0593	0.04458	0.03898	0.03438	0.03892	0.03436
0.30312	0.30286	0.20542	0.30298	0.18686	0.16188	0.0808	0.05922	0.04452	0.03892	0.03452	0.03892	0.03432
0.30308	0.30308	0.20538	0.303	0.1867	0.16154	0.08086	0.05934	0.04454	0.03892	0.03432	0.0389	0.03432
0.3029	0.303	0.20526	0.30318	0.18654	0.1619	0.08088	0.0593	0.04462	0.03894	0.03444	0.03898	0.0344
0.30302	0.30292	0.20524	0.30308	0.18694	0.1617	0.0808	0.05928	0.04458	0.03896	0.03432	0.039	0.03442
0.30328	0.30314	0.20532	0.30306	0.18654	0.16172	0.08082	0.0594	0.0447	0.0389	0.03446	0.03904	0.03436
0.30298	0.30312	0.20522	0.30316	0.18648	0.16174	0.08106	0.0594	0.04458	0.0389	0.03438	0.03888	0.03436
0.30286	0.30294	0.205	0.30318	0.1866	0.16178	0.0811	0.05934	0.04452	0.03892	0.03442	0.03896	0.03436
0.30324	0.30308	0.2052	0.30296	0.1867	0.16164	0.0809	0.0594	0.0445	0.03892	0.03434	0.0389	0.0343
0.30312	0.3029	0.2053	0.3032	0.18666	0.16176	0.08086	0.05932	0.0445	0.03882	0.0344	0.03896	0.0345
0.30282	0.30282	0.2051	0.3034	0.18696	0.16158	0.08088	0.05926	0.04452	0.03894	0.03438	0.03898	0.03442
0.30302	0.30292	0.20546	0.30302	0.1867	0.16168	0.0808	0.05924	0.04458	0.03886	0.03432	0.03896	0.0344
0.3032	0.30324	0.20514	0.30316	0.18642	0.16166	0.08088	0.0593	0.0445	0.03896	0.03436	0.03892	0.03434
