16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.20566	0.20584	0.12674	0.20576	0.1268	0.10976	0.05504	0.03664	0.0276	0.0221	0.01948	0.02222	0.01946
0.20578	0.20568	0.12668	0.20582	0.12674	0.10982	0.05506	0.0367	0.0276	0.02214	0.01952	0.02212	0.0195
0.2058	0.20562	0.12664	0.20576	0.12682	0.10998	0.05492	0.03664	0.02762	0.02214	0.01952	0.02206	0.01948
0.20562	0.20572	0.12662	0.20592	0.12658	0.10996	0.05496	0.03674	0.02758	0.02204	0.01958	0.0222	0.01954
0.2058	0.20598	0.12652	0.20562	0.1269	0.10996	0.05504	0.03664	0.02756	0.02214	0.0195	0.02214	0.01954
0.20566	0.20572	0.12656	0.20574	0.12698	0.1098	0.05502	0.03666	0.02748	0.02212	0.01954	0.02204	0.01954
0.20578	0.20566	0.1267	0.20586	0.12678	0.10992	0.05492	0.03668	0.02762	0.02216	0.0195	0.02208	0.0195
0.20578	0.20578	0.12678	0.2058	0.1267	0.10998	0.05504	0.03674	0.02752	0.02208	0.0195	0.02214	0.01958
0.2056	0.20584	0.1265	0.20572	0.12658	0.10982	0.055	0.03662	0.02764	0.02206	0.01952	0.02216	0.01954
0.20568	0.20582	0.12654	0.20602	0.12666	0.10996	0.05496	0.03668	0.02752	0.02216	0.01958	0.02208	0.01952
0.20578	0.20564	0.12676	0.20592	0.12682	0.10994	0.05496	0.03672	0.02758	0.02218	0.01954	0.0221	0.01956
0.20562	0.20572	0.1267	0.2058	0.12662	0.10982	0.05498	0.03674	0.02754	0.02208	0.01956	0.02212	0.01956
0.2056	0.20578	0.12676	0.20596	0.12672	0.10982	0.05508	0.03666	0.0276	0.02208	0.0195	0.02206	0.01956
0.20576	0.20588	0.12664	0.20572	0.12666	0.10992	0.055	0.03668	0.02754	0.02218	0.01954	0.02216	0.01954
0.20572	0.2057	0.12664	0.20604	0.1267	0.10978	0.05512	0.0367	0.02752	0.02208	0.0195	0.02206	0.01952
0.2057	0.20578	0.12656	0.20574	0.1268	0.10982	0.055	0.03662	0.02756	0.02204	0.01966	0.02222	0.01958
0.20574	0.20578	0.12668	0.20578	0.12668	0.10972	0.05498	0.03668	0.02764	0.02216	0.0195	0.02212	0.01952
0.2058	0.20568	0.12668	0.20574	0.12668	0.10988	0.05494	0.03664	0.02762	0.0221	0.0195	0.02208	0.01954
0.2059	0.20594	0.12662	0.2059	0.12678	0.1098	0.05484	0.03662	0.02754	0.0221	0.01948	0.02206	0.01952
0.2056	0.20568	0.12664	0.20602	0.12672	0.1098	0.0551	0.03674	0.02754	0.02214	0.0195	0.0221	0.01954
0.20562	0.20572	0.12656	0.20566	0.12704	0.1098	0.055	0.0367	0.02752	0.02206	0.01952	0.02214	0.01956
0.20602	0.20576	0.12666	0.2058	0.1267	0.10978	0.05494	0.0367	0.02762	0.0221	0.0195	0.02212	0.0195
0.20568	0.20564	0.12672	0.20574	0.12664	0.10998	0.05498	0.03666	0.02754	0.0221	0.01952	0.02214	0.0195
0.20552	0.20568	0.1266	0.20606	0.12676	0.1099	0.05498	0.0367	0.02752	0.02206	0.01952	0.02212	0.0195
0.2057	0.20578	0.12662	0.20564	0.12672	0.10988	0.05488	0.03666	0.02754	0.02212	0.01946	0.02212	0.01952
0.20586	0.20576	0.12654	0.20572	0.12682	0.10972	0.05484	0.03658	0.02754	0.02216	0.01956	0.0221	0.01958
0.20564	0.20562	0.12664	0.20586	0.12652	0.10984	0.05492	0.03678	0.02752	0.02216	0.0196	0.0221	0.0195
0.2056	0.20578	0.12652	0.20586	0.12666	0.11002	0.05494	0.03668	0.02758	0.02208	0.01952	0.02204	0.01952
0.20552	0.20596	0.12664	0.2059	0.12688	0.11004	0.05502	0.03676	0.02756	0.02214	0.01954	0.02208	0.01952
0.20572	0.2058	0.12662	0.20586	0.12672	0.10966	0.0549	0.0367	0.02748	0.02208	0.01954	0.02206	0.01958
