16_no_PLL	16_RANGE2	26_RANGE2	16	26	30	60	90	120	150	170	150_BOOST	170_BOOST
0.02474	0.02476	0.01744	0.02484	0.01528	0.01328	0.00676	0.00516	0.00394	0.00358	0.00314	0.00356	0.0032
0.0247	0.02482	0.01746	0.0248	0.0153	0.01336	0.00668	0.00516	0.0039	0.00356	0.00318	0.00356	0.00318
0.02472	0.02474	0.01744	0.02482	0.01536	0.0133	0.0067	0.00512	0.00392	0.00354	0.00314	0.00358	0.00318
0.02472	0.0249	0.01742	0.0248	0.01534	0.01326	0.00674	0.00512	0.0039	0.00354	0.00316	0.00354	0.00316
0.02476	0.02486	0.01746	0.02486	0.01526	0.01328	0.00676	0.00512	0.00392	0.00358	0.00316	0.00352	0.00316
0.02468	0.0248	0.01746	0.02484	0.01538	0.01328	0.0067	0.00514	0.00394	0.00356	0.0032	0.00358	0.00318
0.02474	0.0248	0.01742	0.02476	0.0153	0.0133	0.0067	0.00512	0.0039	0.00356	0.00318	0.0036	0.00314
0.02478	0.0248	0.0175	0.02478	0.01532	0.01326	0.00674	0.00514	0.00392	0.00356	0.0032	0.00356	0.00314
0.02476	0.02478	0.0175	0.0248	0.0153	0.01328	0.00674	0.00518	0.00392	0.00358	0.00318	0.00356	0.00318
0.02468	0.02476	0.0174	0.02482	0.01536	0.01332	0.00676	0.0052	0.00394	0.0036	0.00316	0.00358	0.00316
0.02474	0.02482	0.01746	0.02478	0.0154	0.01328	0.00668	0.00514	0.0039	0.00354	0.00318	0.00358	0.00318
0.02478	0.02478	0.01742	0.02486	0.01532	0.01334	0.00672	0.00516	0.00394	0.00356	0.00316	0.00358	0.00316
0.02476	0.02486	0.01738	0.0248	0.01528	0.01326	0.00674	0.00516	0.00392	0.00356	0.00316	0.00358	0.00314
0.02474	0.02474	0.01746	0.02482	0.01534	0.01334	0.00672	0.00518	0.00392	0.00354	0.00316	0.00354	0.00314
0.02472	0.0248	0.01746	0.02484	0.01536	0.01332	0.00668	0.00514	0.00392	0.00356	0.00318	0.00358	0.00314
0.02476	0.0248	0.01742	0.0248	0.0153	0.01332	0.00674	0.00518	0.0039	0.00354	0.00316	0.00354	0.00316
0.02472	0.02486	0.0174	0.02476	0.01532	0.01326	0.00678	0.00522	0.0039	0.00354	0.0032	0.00356	0.00318
0.02474	0.02476	0.01744	0.02476	0.0153	0.01332	0.0067	0.00516	0.0039	0.0035	0.00318	0.0036	0.00318
0.02474	0.02482	0.01742	0.02482	0.01532	0.01334	0.00668	0.00518	0.0039	0.00354	0.00312	0.00358	0.0032
0.02476	0.02486	0.01738	0.02488	0.0154	0.01326	0.00676	0.00512	0.00392	0.0036	0.00318	0.00356	0.00318
0.02476	0.0248	0.01746	0.02478	0.01534	0.0133	0.00672	0.00516	0.00394	0.00358	0.00316	0.00356	0.00318
0.02474	0.02484	0.01746	0.02484	0.01534	0.01332	0.0067	0.00514	0.0039	0.00358	0.00314	0.00358	0.00318
0.02478	0.02478	0.01746	0.02478	0.0154	0.01328	0.0067	0.00512	0.00392	0.00358	0.00316	0.00358	0.00318
0.02474	0.02478	0.01744	0.02486	0.01534	0.01332	0.00672	0.00516	0.0039	0.00356	0.00316	0.00356	0.00314
0.02474	0.02478	0.01748	0.02482	0.01538	0.01332	0.00672	0.00512	0.00392	0.00358	0.00316	0.00354	0.00316
0.0247	0.02486	0.01744	0.02484	0.01538	0.0133	0.00674	0.0051	0.0039	0.00356	0.00316	0.00356	0.0032
0.02474	0.02478	0.01742	0.02482	0.01532	0.01338	0.0067	0.00516	0.0039	0.00354	0.00318	0.00358	0.0032
0.02472	0.02488	0.01742	0.02482	0.01536	0.01328	0.00676	0.00516	0.00394	0.00356	0.00316	0.00358	0.00318
0.02472	0.02482	0.01742	0.02478	0.0154	0.01328	0.00678	0.00512	0.0039	0.00358	0.00316	0.00358	0.00316
0.02476	0.02482	0.01744	0.0248	0.01532	0.01328	0.0067	0.00514	0.00394	0.0036	0.00318	0.00354	0.00318
0.02478	0.02488	0.01744	0.02484	0.01536	0.0133	0.00672	0.00518	0.0039	0.00356	0.00316	0.00356	0.00318
0.02474	0.02478	0.01748	0.02484	0.01542	0.0133	0.00678	0.0052	0.00392	0.00356	0.00314	0.00354	0.00316
0.02474	0.0248	0.01744	0.02482	0.01534	0.01328	0.00676	0.0052	0.00392	0.00358	0.00316	0.00354	0.00318
0.02476	0.0248	0.01748	0.02484	0.01538	0.01328	0.00668	0.00518	0.00388	0.00356	0.0032	0.0036	0.00318
0.02472	0.0248	0.01746	0.02482	0.01534	0.0133	0.00672	0.00518	0.0039	0.00356	0.00318	0.00354	0.00318
0.02478	0.02484	0.01744	0.02478	0.01532	0.01328	0.00678	0.00514	0.00392	0.00356	0.0032	0.00358	0.0032
0.02476	0.02476	0.01742	0.02488	0.01534	0.0133	0.00672	0.00512	0.0039	0.00356	0.00318	0.00354	0.0032
0.02486	0.02476	0.0174	0.02482	0.01534	0.0133	0.00676	0.00516	0.00388	0.00358	0.00314	0.00356	0.00316
0.02476	0.0248	0.01746	0.0248	0.01534	0.01334	0.00672	0.00514	0.00394	0.00356	0.00316	0.00358	0.00318
0.0248	0.02486	0.01742	0.02478	0.01544	0.01328	0.00672	0.00518	0.00394	0.00358	0.00318	0.00358	0.00314
0.0248	0.02478	0.01752	0.0249	0.01532	0.0133	0.00672	0.00516	0.0039	0.00356	0.00318	0.00358	0.00314
0.02476	0.02482	0.01748	0.02488	0.0153	0.01332	0.00674	0.00512	0.0039	0.00356	0.00316	0.00354	0.00314
0.02474	0.0248	0.01742	0.0248	0.0153	0.0133	0.00674	0.00518	0.0039	0.00354	0.00318	0.00354	0.00318
0.02478	0.02482	0.0175	0.02478	0.01532	0.01334	0.00672	0.00514	0.0039	0.00358	0.0032	0.00358	0.00318
0.02472	0.0248	0.01746	0.0248	0.01538	0.0133	0.00678	0.00514	0.0039	0.00356	0.0032	0.00356	0.00318
0.02474	0.02486	0.0174	0.02484	0.0154	0.01334	0.00674	0.00518	0.0039	0.00356	0.00318	0.00354	0.00314
0.02472	0.0248	0.01748	0.02484	0.01532	0.01328	0.00666	0.00512	0.0039	0.00354	0.00316	0.00356	0.00318
0.02476	0.02476	0.01748	0.02486	0.01536	0.0133	0.00676	0.0052	0.00392	0.00358	0.00314	0.00356	0.00318
0.02478	0.02482	0.0175	0.02486	0.0153	0.0134	0.00676	0.00518	0.0039	0.00356	0.00314	0.00356	0.00318
0.02476	0.02476	0.01748	0.02482	0.01528	0.0133	0.00672	0.00518	0.0039	0.00358	0.00314	0.00354	0.00318
0.02472	0.02482	0.01754	0.0248	0.01534	0.0134	0.00668	0.00518	0.00394	0.00356	0.00316	0.0036	0.00318
0.02476	0.02478	0.01748	0.02478	0.01536	0.0133	0.00676	0.00516	0.00392	0.00354	0.00316	0.0036	0.0032
